Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,First seen,Last seen,New link,Lost link,Referring Domain
50,Homepage - The Aspen Institute Forum for Community Solutions,https://www.aspencommunitysolutions.org/,https://oppforyouth.org/,,14,60,False,False,False,False,False,False,True,2024-07-02,2025-04-30,False,False,aspencommunitysolutions.org
28,OYF Common Measures - The Aspen Institute Forum for Community Solutions,https://www.aspencommunitysolutions.org/oyf-common-measures/,https://oppforyouth.org/,Phoenix,19,44,False,False,False,True,False,False,False,2024-11-08,2025-05-03,False,False,aspencommunitysolutions.org
19,Young people find profound personal growth in Public Allies Arizona |,https://dev-lodestar-webspark.ws.asu.edu/news/young-people-find-profound-personal-growth-public-allies-arizona,https://oppforyouth.org/,Opportunities for Youth,5,49,False,False,False,True,False,False,False,2024-09-02,2025-04-26,False,False,dev-lodestar-webspark.ws.asu.edu
19,Young people find profound personal growth in Public Allies Arizona |,https://live-lodestar-webspark.ws.asu.edu/news/young-people-find-profound-personal-growth-public-allies-arizona,https://oppforyouth.org/,Opportunities for Youth,5,50,False,False,False,True,False,False,False,2024-06-10,2025-04-19,False,False,live-lodestar-webspark.ws.asu.edu
19,Young people find profound personal growth in Public Allies Arizona |,https://lodestar.asu.edu/news/young-people-find-profound-personal-growth-public-allies-arizona,https://oppforyouth.org/,Opportunities for Youth,5,50,False,False,False,True,False,False,False,2024-07-05,2025-04-16,False,False,lodestar.asu.edu
19,Youth Disconnection in Arizona and Tucson MSA | MAP Dashboard,https://mapazdashboard.arizona.edu/arizonas-disconnected-youth,https://oppforyouth.org/about,Opportunities for Youth (OFY),29,157,False,False,False,True,False,False,False,2024-08-18,2025-02-23,False,False,mapazdashboard.arizona.edu
19,Young people find profound personal growth in Public Allies Arizona | ASU News,https://news.asu.edu/20190530-arizona-impact-young-people-find-profound-personal-growth-public-allies-arizona,https://oppforyouth.org/,Opportunities for Youth,5,49,False,False,False,True,False,False,False,2024-09-26,2025-04-23,False,False,news.asu.edu
19,"New Watts College chief of public service to strengthen, expand partnerships and engagement | ASU News",https://news.asu.edu/20220309-new-watts-chief-public-service-rely-community-development-expertise-make-colleges-programs,https://oppforyouth.org/,Opportunities for Youth,5,70,False,False,False,True,False,False,False,2024-10-19,2025-03-12,False,False,news.asu.edu
19,Starbucks Opportunity Cafe - Aubrey Brookover | Watts College of Public Service and Community Solutions,https://publicservice.asu.edu/starbucks-opportunity-cafe-aubrey-brookover,https://oppforyouth.org/enroll,www.opp4youth.org/enroll,7,28,False,False,False,True,False,False,False,2024-10-24,2025-04-22,False,False,publicservice.asu.edu
19,Starbucks Opportunity Cafe - Aubrey Brookover | Watts College of Public Service and Community Solutions,https://publicservice.asu.edu/starbucks-opportunity-cafe-aubrey-brookover,https://oppforyouth.org/news/aubrey-starbucks,https://oppforyouth.org/news/aubrey-starbucks,7,28,False,False,False,True,False,False,False,2024-09-04,2025-04-22,False,False,publicservice.asu.edu
19,Youth Disconnection in Arizona and Tucson MSA | MAP Dashboard,https://www.mapazdashboard.arizona.edu/arizonas-disconnected-youth,https://oppforyouth.org/about,Opportunities for Youth (OFY),29,157,False,False,False,True,False,False,False,2024-08-21,2025-02-22,False,False,mapazdashboard.arizona.edu
18,Youth Disconnection in Arizona and Tucson MSA | MAP Dashboard,https://mapazdashboard.arizona.edu/article/arizonas-disconnected-youth,https://oppforyouth.org/about,Opportunities for Youth (OFY),29,157,False,False,False,True,False,False,False,2025-03-01,2025-04-30,False,False,mapazdashboard.arizona.edu
18,Tuscon may hold keys for reengaging Louisville's 'disconnected youth',https://www.courier-journal.com/story/news/education/2019/12/11/tuscon-may-hold-keys-reengaging-louisvilles-disconnected-youth/4231860002/,https://oppforyouth.org/,Phoenix,28,50,False,False,False,True,False,False,False,2025-04-27,2025-04-27,True,False,courier-journal.com
18,Youth Disconnection in Arizona and Tucson MSA | MAP Dashboard,https://www.mapazdashboard.arizona.edu/article/arizonas-disconnected-youth,https://oppforyouth.org/about,Opportunities for Youth (OFY),29,157,False,False,False,True,False,False,False,2025-02-28,2025-04-30,False,False,mapazdashboard.arizona.edu
15,,http://www.opp4youth.org/enroll,https://oppforyouth.org/enroll,,0,0,False,False,False,True,False,False,False,2024-10-28,2025-04-08,False,False,opp4youth.org
15,"Stay in the Know! Opportunities for Youth (OFY) Bi-Weekly Update for November 10, 2022.",https://myemail.constantcontact.com/Stay-in-the-Know--Opportunities-for-Youth--OFY--Bi-Weekly-Update-for-November-10--2022-.html?aid=GpFdgdgb800&soid=1134110919899,http://oppforyouth.org/,oppforyouth.org,20,5,False,False,False,True,False,False,False,2024-09-01,2025-04-18,False,False,myemail.constantcontact.com
15,"Stay in the Know! Opportunities for Youth (OFY) Bi-Weekly Update for November 23, 2022.",https://myemail.constantcontact.com/Stay-in-the-Know--Opportunities-for-Youth--OFY--Bi-Weekly-Update-for-November-23--2022-.html?aid=UgDSUTFkOSo&soid=1134110919899,http://oppforyouth.org/,oppforyouth.org,19,5,False,False,False,True,False,False,False,2024-11-05,2025-03-03,False,False,myemail.constantcontact.com
15,"Stay in the Know! Opportunities for Youth (OFY) Bi-Weekly Update for October 14, 2022.",https://myemail.constantcontact.com/Stay-in-the-Know--Opportunities-for-Youth--OFY--Bi-Weekly-Update-for-October-14--2022-.html?aid=tPbDeqoPxFk&soid=1134110919899,http://oppforyouth.org/,oppforyouth.org,33,5,False,False,False,True,False,False,False,2024-07-24,2025-05-01,False,False,myemail.constantcontact.com
15,TOMORROW! SYEP COVID-19 Roundtable,https://myemail.constantcontact.com/TOMORROW--SYEP-COVID-19-Roundtable.html?aid=k_pb2A1roXE&soid=1123563952351,https://oppforyouth.org/,Opportunities for Youth,42,4,False,False,False,True,False,False,False,2024-12-08,2025-04-06,False,False,myemail.constantcontact.com
12,4 Things City Leaders Need to Know about Opportunity Youth - National League of Cities,https://www.nlc.org/article/2023/08/23/4-things-city-leaders-need-to-know-about-opportunity-youth/,https://oppforyouth.org/,Opportunities for Youth,14,46,False,False,False,True,False,False,False,2024-06-25,2025-04-20,False,False,nlc.org
11,SelectedWorks - Jonathan G.S. Koppell,https://works.bepress.com/jonathan-koppell/,https://oppforyouth.org/,"Opportunities for Youth, Maricopa County",35,72,False,False,False,True,False,False,False,2024-10-01,2025-01-28,False,False,works.bepress.com
10,fcyo,https://fcyo.org/programs/national-youth-alliance-for-boys-and-men-of-color,http://oppforyouth.org/,,53,45,False,False,False,False,False,False,True,2024-08-30,2025-04-16,False,False,fcyo.org
10,fcyo,https://fcyo.org/programs/national-youth-alliance-for-boys-and-men-of-color,http://oppforyouth.org/,Opportunities for Youth: OYU Phoenix CAT,53,45,False,False,False,True,False,False,False,2024-08-30,2025-04-16,False,False,fcyo.org
9,Lista de trabajos de la semana en Arizona – Telemundo Phoenix/Tucson,https://www.telemundoarizona.com/noticias/local/aqui-los-trabajos-disponibles-en-varias-ciudades-de-arizona/25649/,https://oppforyouth.org/,presionar aquí,21,57,False,False,False,True,False,False,False,2024-06-13,2025-04-30,False,False,telemundoarizona.com
8,Coordinated Entry Access Points - Native American Connections,https://www.nativeconnections.org/housing/coordinated-entry-access-points/,https://oppforyouth.org/partners-2020/umom,Learn more,19,32,False,False,False,True,False,False,False,2024-11-03,2025-04-21,False,False,nativeconnections.org
7,ASU Ed Pastor Center for Politics & Public Service | Roddenberry Foundation,https://roddenberryfoundation.org/blog/awardee/asu-ed-pastor-center-for-politics-public-service/,https://oppforyouth.org/vote-for-change,https://oppforyouth.org/vote-for-change,8,21,False,False,False,True,False,False,False,2024-12-16,2025-03-02,False,False,roddenberryfoundation.org
7,Opportunity Youth Forum Communities - The Aspen Institute Forum for Community Solutions,https://www.aspencommunitysolutions.org/oyfcommunities/,https://oppforyouth.org/,Opportunities for Youth,74,77,False,False,False,True,False,False,False,2024-02-12,2025-01-28,False,True,aspencommunitysolutions.org
6,"Phoenix, Arizona - The Aspen Institute Forum for Community Solutions",https://www.aspencommunitysolutions.org/phoenix-arizona/,https://oppforyouth.org/2018-impact-report,2018 Opportunities for Youth Impact Report,12,37,False,False,False,True,False,False,False,2024-03-07,2025-02-14,False,True,aspencommunitysolutions.org
5,fcyo,https://mail.fcyo.org/programs/national-youth-alliance-for-boys-and-men-of-color,http://oppforyouth.org/,,53,45,False,False,False,False,False,False,True,2024-06-20,2025-04-30,False,False,mail.fcyo.org
5,fcyo,https://mail.fcyo.org/programs/national-youth-alliance-for-boys-and-men-of-color,http://oppforyouth.org/,Opportunities for Youth: OYU Phoenix CAT,53,45,False,False,False,True,False,False,False,2024-06-20,2025-04-30,False,False,mail.fcyo.org
5,"In Phoenix, Virtual Block Parties Focus on Community-Police Dialogue – Opportunity Youth United",https://oyunited.org/2020/in-phoenix-virtual-block-parties-focus-on-community-police-dialogue/,https://oppforyouth.org/,their official website,16,43,False,False,False,True,False,False,False,2023-04-16,2025-04-30,False,False,oyunited.org
5,"In Phoenix, Virtual Block Parties Focus on Community-Police Dialogue – Opportunity Youth United",https://oyunited.org/2020/in-phoenix-virtual-block-parties-focus-on-community-police-dialogue/,https://oppforyouth.org/,Opportunities for Youth,16,43,False,False,False,True,False,False,False,2023-04-16,2025-04-30,False,False,oyunited.org
5,Resources | AZAFAP,https://www.azafap.org/resources/,https://oppforyouth.org/enroll,Click to connect to services and resources,65,33,False,False,False,True,False,False,False,2023-07-21,2025-04-28,False,False,azafap.org
5,fcyo,https://www.mail.fcyo.org/programs/national-youth-alliance-for-boys-and-men-of-color,http://oppforyouth.org/,,53,45,False,False,False,False,False,False,True,2024-11-04,2025-04-24,False,False,mail.fcyo.org
5,fcyo,https://www.mail.fcyo.org/programs/national-youth-alliance-for-boys-and-men-of-color,http://oppforyouth.org/,Opportunities for Youth: OYU Phoenix CAT,53,45,False,False,False,True,False,False,False,2024-11-04,2025-04-24,False,False,mail.fcyo.org
5,fcyo,https://yyp.fcyo.org/programs/national-youth-alliance-for-boys-and-men-of-color,http://oppforyouth.org/,,53,45,False,False,False,False,False,False,True,2024-11-02,2025-04-22,False,False,yyp.fcyo.org
5,fcyo,https://yyp.fcyo.org/programs/national-youth-alliance-for-boys-and-men-of-color,http://oppforyouth.org/,Opportunities for Youth: OYU Phoenix CAT,53,45,False,False,False,True,False,False,False,2024-11-02,2025-04-22,False,False,yyp.fcyo.org
