Domain Name,Flagged,Message,Spam,Potential Spam,Ahrefs DR,Ahrefs BL,Ahrefs RD,Ahrefs Ref IPs,SZ Score,Indexed,SEMRUSH,Potential,listed?,backlinks 
historypoint.org,casino,snapshot < text : badword  in (beragam bonus dan promo menarik bagi member baru. beragam jenis permainan slot online dan juga live casino terbaik bisa anda temukan di slot lions 88 no 1 di indonesia. dragon222 selaku situs judi onl),1,,8,1369,346,319,–,0,,,,
takethesidestreet.com,michael kors,snapshot < text : badword  in (elf into something else: a shoe with a baby-sounding name. it may be misguided but i like it.   1. michael kors / 2. nine west / 3. dv by dolce vita / 4. jessica simpson / 5. vince camuto /  6. frye ),0,,27,17152,394,310,–,1,1,,,
innovateproject.org,,clean,0,,28,267,90,107,10,1,1,,,
joyofenjoy.com,,processing error.,0,processing error.,17,156,80,,–,1,,,,
ipasshandoffstudy.com, online pharmacy,snapshot < text : badword  in (al important considerations to keep in mind. firstly verify the legitimacy and accreditation of the online pharmacy or supplier. look for proper licensing and certifications to ensure compliance with),1,,40,340,132,149,–,0,,,,
oozled.com,75 | 5159 | 50 | 203,\significant increase in content (oozled.com-2019-04-12  -> oozled.com-2019-12-23 )\\significant increase in outbound links (oozled.com-2021-08-08  -> oozled.com-2022-09-30 )\,0,,36,1110,302,318,18,1,1,,,
invisible-dog.com,,processing error.,0,processing error.,27,456,163,,–,1,,,,1
holyspiritwind.net,chanel,snapshot < text : badword  in (d widows who need our help! donate via paypal or on the website : www.littleangelsofgod.org youtube chanel :  facebook :,1,,10,25905,233,235,–,1,,,,
outdoorskilled.com,,processing error.,0,processing error.,,,,,–,0,,,,
activereload.net,,archive.org snapshots with status 403 during latest year,1,,21,1328,136,156,–,1,,,,
agrnews.org,penis,snapshot < text : badword  in (mbers come up repeatedly. one is responsible for dragging a man in the nude grabbing a protester’s penis stepping on necks jumping on a man’s back with the help of two other officers and slamming ),1,,15,4722,418,340,–,1,,,,
thorney.org,Low DR,clean,1,,5,211,104,96,7,1,,,,
