Domain Name,Flagged,Message,Spam,Potential Spam,Ahrefs DR,Ahrefs BL,Ahrefs RD,Ahrefs Ref IPs,SZ Score,Indexed
myasha.org,,clean,0,,36,946,222,239,4,1
crossmyt.com,fuck,snapshot < text : badword  in ( was actually looking for. and good thing i have my ad-blocker on. armando on 01/18/2017 eat my ass fuck you on 01/20/2017 subscribe to off the grid mailing list * indicates required email address * f),1,,40,7810,1081,1037,–,1
vetgrad.com,,processing error.,0,processing error.,,,,,–,1
smallbusinessbible.org,poker,linked anchors : badword  in (3 ways poker can help you advance your business skillset),1,,34,14290,419,284,–,1
thedietchannel.com,wellbutrin,snapshot < text : badword  in (use weight loss? in this article we will … how does manjaro cause weight loss read more » how much wellbutrin to lose weight diet / by title: how much wellbutrin to lose weight: exploring the potenti),1,,39,15590,1141,832,–,1
equityatthetable.com,,clean,0,,44,2973,386,397,9,1
tmrresearchblog.com,1783 | 2886,\significant increase in content (tmrresearchblog.com-2022-08-10  -> tmrresearchblog.com-2023-01-21 )\,0,,34,2207,253,246,18,1
osgjs.org,poker,snapshot < text : badword  in (ndatory in order to dive into code. go to documentation » sdk examples picking point cloud cube map poker scene post processing shaders shadow ssao high dynamic range camera camera motion cube motion ),1,,34,1381,241,215,–,1
theagencyblog.com,detectedlanguage[so:0.9751393234007538,snapshot < text : bad language ] in (502 bad gateway 502 bad gateway nginx),0,,12,533,132,127,–,0
hopenowforals.org,,clean,0,,17,212,184,86,11,1
financemarvel.com,,insufficient archive.org history available,0,insufficient archive.org history available,18,429,105,258,–,1
youngvoter.org,1718 | 3010,\significant increase in content (youngvoter.org-2008-10-04  -> youngvoter.org-2010-03-23 )\,0,,21,1109,195,179,17,1
quittersduo.com,,archive.org snapshots with status 403 during latest year,1,,12,250,70,90,–,0
legacyrules.com,detectedlanguage[ast:0.8571377862261147,snapshot < text : bad language ] in (/f1 menu /a1 /a2 /a3 /a4 /a5 undefined undefined versión español versión español),1,,21,269,60,61,–,1
re-bin.com,,processing error.,0,processing error.,,,,,–,1
mylittlecrafts.com,,processing error.,0,processing error.,,,,,–,1
laughitout.com,sex,snapshot < text : badword  in (or the same reason” woman : “yeah! let’s pick up some chicks!” man : “i’m here to fulfil your every sexual fantasy.” woman : “you mean you’ve got both a donkey and a great dane?” man : “i know how to ),1,,10,49371,305,248,–,1
themeltaways.com,porn,linked anchors : badword  in (dirtyindianporn.info/porn/22327/vaasna-ka-khel-3/),1,,23,15640,490,405,–,1
scienceteachingjunkie.com,,clean,0,,11,6006,159,173,7,1
alliedprogress.org,payday,snapshot < text : badword  in (rking americans. join us today! get the latest email address sign up act now our campaigns view all payday lending learn more unclaimed property learn more crude oil export ban learn more the latest r),1,,38,2974,673,591,–,1
programming-study.com,replica,snapshot < text : badword  in (プログラミングの勉強法や教室比較、プログラマー求人、restapiのsaas情報サイト【プログラミング教育ナビ】 the best richard mille watch replica in the world qualified a watchmaker to use decade. normal fingers in making often is the com),0,,39,5023,291,392,–,0
modelkingdom.net,,clean,0,,11,272,108,86,15,1
mytechletter.com,,clean,0,,10,183,81,77,11,1
digitalnewscity.com,,insufficient archive.org history available,0,insufficient archive.org history available,10,68,59,58,–,1
thegoldeninvestor.com,42 | 1719 | Low DR,\significant increase in content (thegoldeninvestor.com-2016-10-08  -> thegoldeninvestor.com-2020-04-27 )\,1,,0,67,51,44,23,1
testingthenet.com,casino,snapshot < text : badword  in (4 am rss computer software 22 26 operating systems computer security general software latest: a+bet casino trực tuyến - sòng bài trực tuyến uy tín hàng đầu châu á seobi888 yesterday at 5:20 am rss mi),1,,24,25576,639,697,–,1
itsberyllicious.com,casino,snapshot < text : badword  in (de-stress would automatically be a trip to the spa. normally... photoblog: epic buffet at hollywood casino illinois epic buffet friday seafood dinner buffet at epic buffet hollywood casino unlimited ),1,,10,27211,446,308,–,1
conveyofficial.com,casino,snapshot < text : badword  in (tar whatsapp rtp gacor livechat bonus talibet > daftar bandar slot online terpercaya dan situs live casino resmi talibet adalah situs bandar slot online terpercaya di indonesia. mereka memiliki berbag),1,,13,9283,466,427,–,0
zerodivide.org,sex,snapshot < text : badword  in ( gay rights by john hoffman on 14 may 2012 - 10:42am president obama’s statement in support of same-sex marriage was a significant moment in the gay rights movement. social media will help make lgbt e),1,,33,1523,338,353,–,1
34millionfriends.org,sex,snapshot < text : badword  in (pragmatic and comprehensive approach to family planning” — including free contraceptives universal sex ed consistent encouragement of women’s empowerment and easily accessible abortion services — h),1,,25,19281,291,283,–,1
