Domain name,Everything backlinks,Everything domains,Everything avg AS,Everything median AS,Everything avg ext links,Everything median ext links,Quality backlinks,Quality domains,Quality avg AS,Quality median AS,Quality avg ext links,Quality median ext links,Bid
equityatthetable.com-backlinks,1144,1113,4,0,10557,44,114,114,14,11,29,21,500
re-bin.com-backlinks,384,304,1,0,2231,29,10,10,13,12,22,20,150
