Domain name,Price,Everything backlinks,Everything domains,Everything avg AS,Everything median AS,Everything avg ext links,Everything median ext links,Quality backlinks,Quality domains,Quality avg AS,Quality median AS,Quality avg ext links,Quality median ext links
iprescribeexercise.com-backlinks,150,201,189,2,0,3518,30,12,12,10,9,22,19
joyofenjoy.com-backlinks,315,3297,445,5,0,278,39,14,14,12,8,16,12
