Name,Source,Reason,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry
motherstavern.com,GoDaddy Auctions,Low Authority Score (AS<5).,30.00,4.00,10.00,10.00,31.00,18.00,187.00,59.00,154.00,387.00,108.00,325.00,213.00,2.00,26.00,71.13%,2.06951871657754,1.8305084745762712,26.00,1.0,0.0,"Recreation/Food: 31
Recreation/Travel: 19",nan%,2025-05-13
voiceofassam.com,GoDaddy Auctions,Low Authority Score (AS<5).,21.00,2.00,11.00,0.00,33.00,16.00,102.00,27.00,87.00,175.00,80.00,264.00,97.00,2.00,19.00,82.86%,1.7156862745098038,2.962962962962963,23.00,0.0,2.0,"News/Media Industry: 33
News/Directories: 23",nan%,2025-05-13
iloi.net,Namecheap Auctions,Low Authority Score (AS<5). Low English content (<50%). Too many drops (>2).,15.00,2.00,2.00,0.00,30.00,16.00,128.00,32.00,38.00,471.00,133.00,197.00,124.00,3.00,13.00,81.10%,3.6796875,4.15625,21.00,1.0,5.0,"Reference/Education: 30
Recreation/Collecting: 20",nan%,2025-05-13
waxmuseum.net,GoDaddy Auctions,Low Authority Score (AS<5).,26.00,4.00,6.00,18.00,23.00,21.00,168.00,250.00,128.00,720.00,444.00,289.00,179.00,3.00,22.00,42.64%,4.285714285714286,1.776,25.00,2.0,0.0,"Recreation: 23
Arts/Music: 19
Recreation/Audio: 15
Shopping/Entertainment: 15",nan%,2025-05-13
iburstafrica.com,GoDaddy Auctions,Low Authority Score (AS<5).,22.00,2.00,3.00,0.00,27.00,18.00,127.00,129.00,125.00,415.00,267.00,423.00,146.00,3.00,20.00,72.77%,3.267716535433071,2.0697674418604652,17.00,3.0,1.0,Computers/Internet: 27,nan%,2025-05-13
riberaxuquer.com,GoDaddy Auctions,Low Authority Score (AS<5). Low English content (<50%).,55.00,2.00,37.00,18.00,29.00,15.00,146.00,25.00,174.00,546.00,42.00,586.00,167.00,4.00,53.00,87.91%,3.73972602739726,1.68,20.00,0.0,2.0,"Recreation/Travel: 29
Regional/Europe: 21
Society/Religion and Spirituality: 20",nan%,2025-05-13
cumingcorp.com,GoDaddy Auctions,Low Authority Score (AS<5).,22.00,4.00,2.00,4.00,32.00,16.00,109.00,33.00,79.00,540.00,93.00,490.00,134.00,4.00,20.00,85.71%,4.954128440366972,2.8181818181818183,25.00,3.0,0.0,Business/Materials: 32,nan%,2025-05-13
globalsearchdirectory.com,GoDaddy Auctions,Low Authority Score (AS<5). Too many drops (>2).,14.00,2.00,6.00,0.00,14.00,16.00,146.00,31.00,91.00,1186.00,80.00,530.00,157.00,4.00,12.00,32.58%,8.123287671232877,2.5806451612903225,19.00,1.0,3.0,"Computers/Internet: 14
Business/Publishing and Printing: 12
Recreation/Pets: 12
Computers/Internet/Searching: 12
Arts/Comics: 12
Society/Religion and Spirituality: 12
Regional/Europe: 12
Business/Construction and Maintenance: 12
Recreation/Collecting: 12
Health/Professions: 12",nan%,2025-05-13
xwaver.com,GoDaddy Auctions,Low Authority Score (AS<5).,25.00,2.00,1.00,0.00,18.00,19.00,161.00,82.00,148.00,1868.00,187.00,941.00,162.00,5.00,24.00,25.82%,11.602484472049689,2.2804878048780486,20.00,1.0,0.0,Computers/Software/Operating Systems: 18,nan%,2025-05-13
animefansftw.com,GoDaddy Auctions,Low Authority Score (AS<5). Prohibited topics: adult.,27.00,2.00,3.00,3.00,11.00,18.00,225.00,73.00,151.00,1487.00,3305.00,9604.00,215.00,5.00,25.00,77.76%,6.608888888888889,45.273972602739725,15.00,1.0,2.0,"Home/Family: 11
Business/Real Estate: 11
Recreation/Travel: 11
Health/Senior Health: 11
Games/Video Games/Roleplaying: 10
Adult/Business: 9
Society: 9
Society/People: 9
Adult/Image Galleries: 8
Society/Religion and Spirituality: 8",nan%,2025-05-13
