Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link,Main Domain
48,,https://actonadream.squarespace.com/,https://www.actonadream.org/,,0,0,False,False,False,True,False,False,False,False,2024-10-12,2025-05-07,False,False,squarespace.com
47,Frequently Asked Questions | Harvard,https://college.harvard.edu/resources/faq,https://www.actonadream.org/,Act on a Dream,28,226,False,False,False,True,False,False,False,False,2024-07-03,2025-05-08,False,False,harvard.edu
44,Diversity and Access | Harvard,https://college.harvard.edu/admissions/why-harvard/diversity-and-access,https://www.actonadream.org/,Act on a Dream,4,152,False,False,False,True,False,False,False,False,2024-10-07,2025-04-24,False,False,harvard.edu
43,Harvard Holds First 'UndocuGraduation' Ceremony for Illegal Immigrants,https://www.breitbart.com/tech/2019/05/13/harvard-holds-first-undocugraduation-ceremony-for-illegal-immigrants/,https://www.actonadream.org/mission,website,11,84,False,False,False,True,False,False,False,False,2024-11-12,2024-11-12,False,False,breitbart.com
30,"With intolerance posing as righteousness at Harvard, where’s George Orwell when you need him? - The Boston Globe",https://www.bostonglobe.com/metro/2019/10/24/with-intolerance-posing-righteousness-harvard-where-george-orwell-when-you-need-him/LxuhO6eLzPljpkKV5LXsdO/story.html,https://www.actonadream.org/,Act on a Dream,21,138,False,False,False,True,False,False,False,False,2024-06-20,2025-05-03,False,False,bostonglobe.com
26,Lab Compact — Kahne Lab,https://kahnelab.chemistry.harvard.edu/lab-compact,https://www.actonadream.org/,Act on a Dream,8,27,False,False,False,True,False,False,False,False,2023-12-28,2025-03-30,False,True,harvard.edu
25,Resources for Undocumented Students,https://scalar.fas.harvard.edu/studentpower/resources-for-undocumented-students-1,https://www.actonadream.org/,Harvard College Act on a Dream,10,71,False,False,False,True,False,False,False,False,2024-01-06,2025-03-19,False,False,harvard.edu
22,Film screening of Almost American | Harvard Worldwide,http://worldwide.harvard.edu/event/film-screening-almost-american,https://www.actonadream.org/,Harvard College Act on a Dream,6,23,False,False,False,True,False,False,False,False,2024-10-07,2025-05-07,False,False,harvard.edu
22,Act on a Dream at Harvard College – Harvard FAS | Mignone Center for Career Success,https://careerservices.fas.harvard.edu/organizations/act-on-a-dream-at-harvard-college/,https://www.actonadream.org/,actonadream.org,6,73,False,False,False,True,False,False,False,False,2024-10-08,2025-04-19,False,False,harvard.edu
22,Deferred Action for Childhood Arrivals (DACA) Phase Out | Harvard,https://college.harvard.edu/about/deans-messages/deferred-action-childhood-arrivals-daca-phase-out,https://www.actonadream.org/,Act on a Dream,4,133,False,False,False,True,False,False,False,False,2024-02-01,2025-05-08,False,False,harvard.edu
22,Does Harvard provide specific resources for undocumented students? | Harvard,https://college.harvard.edu/resources/faq/does-harvard-provide-specific-resources-undocumented-students,https://www.actonadream.org/,Act on a Dream,4,132,False,False,False,True,False,False,False,False,2023-03-10,2025-04-25,False,False,harvard.edu
22,Deferred Action for Childhood Arrivals (DACA) Phase Out | Harvard,https://dev.college.harvard.edu/about/deans-messages/deferred-action-childhood-arrivals-daca-phase-out,https://www.actonadream.org/,Act on a Dream,4,137,False,False,False,True,False,False,False,False,2024-07-13,2025-04-19,False,False,harvard.edu
22,Diversity and Access | Harvard,https://dev.college.harvard.edu/admissions/why-harvard/diversity-and-access,https://www.actonadream.org/,Act on a Dream,4,156,False,False,False,True,False,False,False,False,2023-12-28,2025-04-22,False,False,harvard.edu
22,Frequently Asked Questions | Harvard,https://dev.college.harvard.edu/resources/faq,https://www.actonadream.org/,Act on a Dream,28,229,False,False,False,True,False,False,False,False,2024-02-09,2025-05-02,False,False,harvard.edu
