Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link,Main Domain
20,Round to Nearest Multiple Calculator,https://www.calculatorsoup.com/calculators/math/round-to-nearest-multiple.php,http://www.office-archive.com/14-excel/63cda9916e27c869.htm,Wrong Calculation with MROUND Function,1,26,False,False,False,True,False,False,False,False,2023-06-10,2025-04-09,False,False,calculatorsoup.com
19,Infosec & Quality [ITA] - Feb. 2024,https://infosecandquality.substack.com/p/infosec-and-quality-ita-feb-2024,http://www.office-archive.com/2-excel/2996ddbb4f8b3ca7.htm,http://www.office-archive.com/2-excel/2996ddbb4f8b3ca7.htm,24,10,False,False,False,True,False,False,False,False,2024-08-22,2025-04-25,False,False,substack.com
11,Work Menu in Microsoft Word,http://addbalance.com/word/workmenu.htm,http://www.office-archive.com/17-word/7fa2f84e666bcf88.htm,macro to backup and restore,7,73,False,False,False,True,False,False,False,False,2024-10-17,2025-04-29,False,False,addbalance.com
9,Not important but not pretty | Access World Forums,https://www.access-programmers.co.uk/forums/threads/not-important-but-not-pretty.268390/,http://www.office-archive.com/3-ms-access/f2b8c9a68a01dd00.htm,this link for source,3,130,False,False,False,True,False,False,False,False,2024-07-28,2025-05-05,False,False,access-programmers.co.uk
7,Work Menu in Microsoft Word,http://www.addbalance.com/word/workmenu.htm,http://www.office-archive.com/17-word/7fa2f84e666bcf88.htm,macro to backup and restore,7,73,False,False,False,True,False,False,False,False,2024-11-04,2025-04-25,False,False,addbalance.com
7,Quit event code - Outlook 2007,http://www.vbaexpress.com/forum/showthread.php?47153-Quit-event-code-Outlook-2007,http://www.office-archive.com/36-outlook/5cc5ec1793dc7631.htm,http://www.office-archive.com/36-out...1793dc7631.htm,6,89,False,False,False,True,False,False,False,False,2024-02-11,2025-01-02,False,True,vbaexpress.com
7,How to query an open ListObject?,http://www.vbaexpress.com/forum/showthread.php?69242-How-to-query-an-open-ListObject,http://www.office-archive.com/2-excel/15f29edb770122c1.htm,http://www.office-archive.com/2-exce...db770122c1.htm,21,127,False,False,False,True,False,False,False,False,2023-12-07,2024-12-18,False,True,vbaexpress.com
7,Work Menu in Microsoft Word,https://addbalance.com/word/workmenu.htm,http://www.office-archive.com/17-word/7fa2f84e666bcf88.htm,macro to backup and restore,7,73,False,False,False,True,False,False,False,False,2024-11-04,2025-05-03,False,False,addbalance.com
7,Work Menu in Microsoft Word,https://www.addbalance.com/word/workmenu.htm,http://www.office-archive.com/17-word/7fa2f84e666bcf88.htm,macro to backup and restore,7,73,False,False,False,True,False,False,False,False,2024-11-04,2025-04-29,False,False,addbalance.com
6,Excelで”-1^2″の計算結果が1で、”0-1^2″は-1になるヒミツ!? | 雑学界の権威・平林純の考える科学,http://hirabayashi.wondernotes.jp/2014/08/22/excel%E3%81%A7-12%E3%81%AE%E8%A8%88%E7%AE%97%E7%B5%90%E6%9E%9C%E3%81%8C1%E3%81%A7%E3%80%810-12%E3%81%AF-1%E3%81%AB%E3%81%AA%E3%82%8B%E3%83%92%E3%83%9F%E3%83%84/,http://www.office-archive.com/4-excel/76fbcd02014d8fba.htm,Incorrect order of operations in formula,17,90,False,False,False,True,False,False,False,False,2024-04-30,2025-04-26,False,False,hirabayashi.wondernotes.jp
6,Excel2010 list of fonts used - Eileen's Lounge,https://eileenslounge.com/viewtopic.php?t=11514,http://www.office-archive.com/2-excel/ba075ff6dfd30d55.htm,List of all Fonts used in a workbook,3,55,False,False,False,True,False,False,False,False,2024-07-12,2025-04-23,False,False,eileenslounge.com
6,Integrating MS Access with a cash register machine - Eileen's Lounge,https://eileenslounge.com/viewtopic.php?t=13991,http://www.office-archive.com/5-ms-access/73178e6ffbc4afa6.htm,Cash Drawer & Access 97,2,56,False,False,False,True,False,False,False,False,2024-10-09,2025-04-17,False,False,eileenslounge.com
5,2014年08月 | 雑学界の権威・平林純の考える科学,http://hirabayashi.wondernotes.jp/2014/08/,http://www.office-archive.com/4-excel/76fbcd02014d8fba.htm,Incorrect order of operations in formula,20,92,False,False,False,True,False,False,False,False,2024-04-19,2025-04-26,False,False,hirabayashi.wondernotes.jp
5,2014年08月22日 | 雑学界の権威・平林純の考える科学,http://hirabayashi.wondernotes.jp/2014/08/22/,http://www.office-archive.com/4-excel/76fbcd02014d8fba.htm,Incorrect order of operations in formula,17,91,False,False,False,True,False,False,False,False,2024-04-29,2025-04-28,False,False,hirabayashi.wondernotes.jp
5,2014年 | 雑学界の権威・平林純の考える科学,http://hirabayashi.wondernotes.jp/2014/page/3/,http://www.office-archive.com/4-excel/76fbcd02014d8fba.htm,Incorrect order of operations in formula,28,90,False,False,False,True,False,False,False,False,2024-04-27,2025-05-06,False,False,hirabayashi.wondernotes.jp
5,「決まり」のヒミツ | 雑学界の権威・平林純の考える科学,http://hirabayashi.wondernotes.jp/category/%E3%80%8C%E6%B1%BA%E3%81%BE%E3%82%8A%E3%80%8D%E3%81%AE%E3%83%92%E3%83%9F%E3%83%84/page/2/,http://www.office-archive.com/4-excel/76fbcd02014d8fba.htm,Incorrect order of operations in formula,41,90,False,False,False,True,False,False,False,False,2024-04-27,2025-04-23,False,False,hirabayashi.wondernotes.jp
5,科学技術 | 雑学界の権威・平林純の考える科学,http://hirabayashi.wondernotes.jp/category/%E7%A7%91%E5%AD%A6%E6%8A%80%E8%A1%93/page/4/,http://www.office-archive.com/4-excel/76fbcd02014d8fba.htm,Incorrect order of operations in formula,28,90,False,False,False,True,False,False,False,False,2024-05-05,2025-05-02,False,False,hirabayashi.wondernotes.jp
5,雑学界の権威・平林純の考える科学,http://hirabayashi.wondernotes.jp/page/6/,http://www.office-archive.com/4-excel/76fbcd02014d8fba.htm,Incorrect order of operations in formula,28,89,False,False,False,True,False,False,False,False,2024-04-26,2025-05-04,False,False,hirabayashi.wondernotes.jp
5,Drop grouping when placing shapes from stencil,https://visguy.com/vgforum/index.php?topic=4418.0,http://www.office-archive.com/72-visio-vba/9fd8f0fbb6fd4512.htm,http://www.office-archive.com/72-visio-vba/9fd8f0fbb6fd4512.htm,3,38,False,False,False,True,False,False,False,False,2024-11-29,2025-05-08,False,False,visguy.com
