Name,Source,Reason,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry
rainbowhouseinc.org,GoDaddy Auctions,Low Authority Score (AS<5).,24.00,4.00,12.00,10.00,27.00,14.00,125.00,25.00,93.00,167.00,29.00,395.00,121.00,2.00,20.00,67.47%,1.336,1.16,23.00,,,Society/Issues: 27,nan%,2025-05-23
kameen.com,GoDaddy Auctions,Low Authority Score (AS<5).,17.00,2.00,5.00,0.00,27.00,14.00,96.00,30.00,69.00,153.00,91.00,244.00,95.00,3.00,15.00,58.82%,1.59375,3.033333333333333,25.00,0.0,,Health: 27,nan%,2025-05-23
ishouldhaveawebsite.com,GoDaddy Auctions,Low Authority Score (AS<5).,8.00,4.00,48.00,4.00,34.00,26.00,160.00,103.00,197.00,451.00,446.00,2048.00,124.00,4.00,44.00,91.13%,2.81875,4.330097087378641,25.00,2.0,,"Recreation/Outdoors: 33
Recreation/Travel: 31
Regional/North America: 28",nan%,2025-05-23
thestigmaproject.org,GoDaddy Auctions,Prohibited topics: adult.,37.00,5.00,31.00,6.00,21.00,18.00,211.00,86.00,183.00,1206.00,176.00,2356.00,206.00,5.00,32.00,54.49%,5.7156398104265405,2.046511627906977,13.00,,,"Adult/Society: 21
Health/Teen Health: 19
Society/Sexuality: 18
Shopping/Clothing: 15
Society/Gay  Lesbian  and Bisexual: 14",nan%,2025-05-23
commlampton.com,GoDaddy Auctions,Low Authority Score (AS<5).,26.00,3.00,7.00,8.00,29.00,18.00,233.00,62.00,173.00,3169.00,200.00,2006.00,289.00,5.00,23.00,45.31%,13.600858369098713,3.225806451612903,27.00,,,Business/Business Services: 29,nan%,2025-05-23
phantomrealty.com,GoDaddy Auctions,Low Authority Score (AS<5).,26.00,4.00,33.00,0.00,29.00,16.00,2409.00,39.00,1990.00,180058.00,105.00,6190658.00,2619.00,5.00,29.00,97.53%,74.74387712743876,2.6923076923076925,24.00,,,Business/Real Estate: 29,nan%,2025-05-23
wild-web.net,Namecheap Auctions,Low Authority Score (AS<5). Low English content (<50%).,26.00,2.00,9.00,0.00,30.00,15.00,150.00,54.00,99.00,367.00,182.00,323.00,146.00,5.00,24.00,52.70%,2.4466666666666668,3.3703703703703702,26.00,,,"Recreation/Outdoors: 30
Regional/Europe: 22",nan%,2025-05-23
milkshakemedia.com,GoDaddy Auctions,Low Authority Score (AS<5).,22.00,4.00,13.00,1.00,19.00,18.00,129.00,73.00,124.00,494.00,279.00,421.00,145.00,6.00,18.00,92.91%,3.8294573643410854,3.8219178082191783,25.00,,,"Computers/Internet/Web Design and Development: 19
Computers/Human-Computer Interaction: 17
Computers/History: 16
Arts/Radio: 15
News/Newspapers: 14
Recreation/Travel: 14
Society/Issues: 13
Reference/Knowledge Management: 13",nan%,2025-05-23
ffholic.com,GoDaddy Auctions,Low Authority Score (AS<5). Prohibited topics: adult.,16.00,4.00,13.00,23.00,6.00,18.00,163.00,71.00,110.00,654.00,144.00,564.00,175.00,6.00,12.00,37.71%,4.012269938650307,2.028169014084507,15.00,4.0,,"Home/Family: 6
Recreation/Travel: 6
Society/Organizations: 6
Business/Real Estate: 5
Regional/Europe: 5
Business: 5
Adult/Regional: 5
Business/Energy: 5
Adult/World: 5
Adult/Shopping: 4",nan%,2025-05-23
zilalila.com,GoDaddy Auctions,Low Authority Score (AS<5). Low English content (<50%).,29.00,4.00,14.00,9.00,14.00,17.00,228.00,67.00,175.00,866.00,448.00,596.00,191.00,6.00,25.00,43.24%,3.7982456140350878,6.686567164179104,14.00,0.0,,"Business/Real Estate: 14
Business/Automotive: 12
Computers/Mobile Computing: 12
Recreation/Autos: 12
Computers/Internet/Web Design and Development: 12
Shopping/Visual Arts: 12
Computers/Internet/Searching: 12
Regional/Europe: 11
Recreation/Travel: 11
Arts/Music: 11",nan%,2025-05-23
