Name,Source,TF,CF,"Majestic BL","Majestic RD","Majestic Topics","Majestic Languages","Site Languages","Ahrefs DR","Ahrefs UR","Ahrefs RD","Ahrefs BL","Ahrefs Traffic","Ahrefs Positions","Ahrefs Cost","Moz DA","Moz PA",Age,"SZ Redirects","SZ Parked","SZ Active History","SZ Score","SZ Drops","Google Index","SEM Traffic","SEM Rank","SEM Keywords","Out Links Internal","Out Links External","Out Domains External","Date Added",Price,Expires
broadfootpublishing.com,"GoDaddy Auctions",31,18,420,35,"Shopping/Publications: 31","English: 99.7%
Spanish: 0.2%",,16,0,108,2774,0,3,0,28,29,25,53,0,25,2,0,0,0,33886687,1,0,0,0,04/29/2025,$7,"05/09/2025 21:26:00"
theashleyinn.com,"GoDaddy Auctions",37,23,129,31,"Regional/North America: 37
Shopping/Music: 23
Recreation/Travel: 21","English: 100%","English: 100%",14,17,140,841,0,9,0,24,30,23,86,0,23,2,1,0,0,16466382,8,0,0,0,04/29/2025,$11,"05/09/2025 16:34:00"
oiccam.com,"GoDaddy Auctions",34,23,3712,83,"Computers/Software/Groupware: 34
Computers/Software/Operating Systems: 22
Computers/Programming/Languages: 21
News/Weather: 21","English: 97.1%
German: 0.8%
Bulgarian: 0.4%
Spanish: 0.2%
French: 0.1%
Dutch: 0.1%
Korean: 0.1%",,36,1,283,25484,0,0,0,,,23,0,0,23,2,0,0,0,0,0,0,0,0,04/30/2025,$50,"05/09/2025 16:11:00"
trumbauersville.org,"Sav.com Auctions",31,15,79,39,"Regional/North America: 31","English: 100%",,7,0,95,181,1,2,0,,,23,58,0,23,2,2,1,11,7447352,4,0,0,0,04/30/2025,$11.88,"05/09/2025 20:21:06"
allesfliegt.com,"Namecheap Auctions",28,15,74,25,"Shopping/Recreation: 28","German: 96.8%
English: 3.1%","English: 100%",4,1,21,62,,,,15,24,15,12,0,15,2,,,0,0,0,21,4,4,05/08/2025,$5,"05/09/2025 15:00:00"
neonsound.com,"GoDaddy Auctions",31,16,46,26,"Business/Arts and Entertainment: 31","English: 92.6%
Hungarian: 4.8%
Chinese: 2.4%",,26,4,74,173,0,0,0,16,26,23,0,0,23,3,0,0,0,0,0,0,0,0,04/29/2025,$110,"05/09/2025 18:28:00"
andysautowreckers.com,"GoDaddy Auctions",21,15,108,25,"Business/Automotive: 21
Shopping/Vehicles: 17
Science/Environment: 17
Computers/Internet: 14","English: 98%
Spanish: 1.9%","English: 100%",11,3,59,251,0,0,0,18,25,23,41,0,23,3,0,,0,0,0,8,8,7,04/29/2025,$1,"05/09/2025 20:33:00"
desktopgadgets.com,"GoDaddy Auctions",25,17,282,28,"Games/Video Games/Strategy: 24
Computers/Software/Operating Systems: 19
Computers/Software/Desktop Customization: 19","English: 97.5%
Czech: 0.7%
Slovak: 0.7%
Hungarian: 0.3%
Polish: 0.3%
Romanian: 0.3%","English: 100%",6,8,78,856,0,0,0,,,23,48,2,23,3,0,1,0,0,0,0,1,1,04/30/2025,$1,"05/09/2025 18:27:00"
creativelandscapeborders.com,"GoDaddy Auctions",30,15,113,32,"Business/Construction and Maintenance: 30","English: 100%","English: 85.1%
Latin: 14.8%",0,8,77,301,2,18,164,,,22,27,0,22,3,2,33,0,15036817,13,17,2,2,04/30/2025,$1,"05/09/2025 16:34:00"
acctop40.com,"GoDaddy Auctions",26,21,373,102,"Arts/Music: 26
Reference/Education: 19
Recreation/Trains and Railroads: 17","English: 76.8%
German: 19.5%
Japanese: 2.7%
Dutch: 0.6%
Spanish: 0.3%",,10,1,224,1706,0,0,0,,,27,99,0,27,3,0,0,0,0,0,0,1,1,04/30/2025,$1,"05/09/2025 19:33:00"
embangola-can.org,"GoDaddy Auctions",33,20,385,328,"Society/Government: 33","English: 91.6%
French: 1.8%
Portuguese: 1.8%
Spanish: 1.5%
Dutch: 0.7%
German: 0.7%
Italian: 0.5%
Vietnamese: 0.5%
Arabic: 0.2%
Russian: 0.2%",,18,0,178,645,0,0,0,,,18,0,0,17,3,0,0,0,0,0,0,0,0,04/30/2025,$1,"05/09/2025 20:17:00"
zircomp.com,"Namecheap Auctions",23,15,154,38,"Science/Math: 22
Computers/Data Formats: 22
Business/Business Services: 18
Science/Biology: 15","English: 95%
Chinese: 1.9%
Russian: 1.9%
French: 0.9%",,8,0,37,106,,,,14,26,15,0,3,15,3,,,0,0,0,0,0,0,05/08/2025,$5,"05/09/2025 15:00:00"
3design3.com,"Namecheap Auctions",24,24,5877,61,"Adult/Arts: 24
Society/Sexuality: 15","English: 99.9%","Chinese: 98.4%
English: 1.6%",22,29,63,7178,0,0,0,15,29,14,24,0,14,4,0,5280,0,0,0,24,0,0,04/25/2025,$15,"05/09/2025 15:00:00"
nano4me.org,"GoDaddy Auctions",25,29,1426,245,"Science/Technology: 24
Computers/Internet/Searching: 23
Computers/Internet/Resources: 22
Reference/Libraries: 20
Reference/Education: 20
Science/Physics: 19
Science/Social Sciences: 18
Arts/Architecture: 17
Society/People: 17","English: 94.8%
Chinese: 0.7%
German: 0.5%
Spanish: 0.5%
Arabic: 0.3%
Dutch: 0.3%
Indonesian: 0.3%
Korean: 0.3%
Polish: 0.3%
Portuguese: 0.3%","English: 100%",34,13,247,11189,0,12,0,29,33,17,20,0,17,4,0,94,2,10668289,10,5,2,0,04/28/2025,$16,"05/09/2025 20:42:00"
rockingfrogpdx.com,"GoDaddy Auctions",22,15,105,26,"Society/Religion and Spirituality: 22","English: 94.1%
Chinese: 0.9%
French: 0.9%
German: 0.9%
Indonesian: 0.9%
Spanish: 0.9%
Tagalog: 0.9%","English: 100%",17,10,84,211,0,1,0,35,31,13,2,0,13,4,0,0,6,8607051,12,3,6,1,04/29/2025,$1,"05/09/2025 19:09:00"
