Name,Source,Potentially spam,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry,Reason
safuline.com,GoDaddy Auctions,,7.00,2.00,0.00,6.00,10.00,13.00,94.00,34.00,47.00,176.00,62.00,74.00,74.00,nan,7.00,41.71%,1.872340425531915,1.8235294117647058,2.00,0.0,,"Health/Mental Health: 9
Business/Textiles and Nonwovens: 8",nan%,2025-05-01,Low Authority Score (AS<5).
oabalegacyrenewed.com,GoDaddy Auctions,,10.00,2.00,2.00,0.00,12.00,18.00,157.00,941.00,151.00,750.00,1145.00,682.00,175.00,nan,8.00,31.65%,4.777070063694268,1.2167906482465463,18.00,,,"Society: 12
Society/People: 12
Computers/Internet: 12
Society/Religion and Spirituality: 12
Recreation/Autos: 11
Arts/Music: 9
Computers/Internet/Searching: 9
Computers/Internet/Web Design and Development: 8",nan%,2025-05-01,Low Authority Score (AS<5).
intcarshow.com,GoDaddy Auctions,High spam score (SZ: 24.0).,8.00,2.00,1.00,15.00,17.00,16.00,78.00,44.00,24.00,96.00,67.00,33.00,81.00,24.00,7.00,77.08%,1.2307692307692308,1.5227272727272727,13.00,,,"Business/Arts and Entertainment: 16
Business/Marketing and Advertising: 16
Business: 15
Recreation/Food: 12
Business/Energy: 12
Society: 12
World/Italiano: 12
Society/People: 12",nan%,2025-05-01,Low Authority Score (AS<5).
progressivecaucusncdp.com,GoDaddy Auctions,Questionable Majestic topics: adult.,8.00,2.00,5.00,1.00,8.00,17.00,82.00,47.00,78.00,102.00,65.00,176.00,81.00,nan,6.00,83.33%,1.2439024390243902,1.3829787234042554,6.00,,,"Regional/Europe: 8
Home/Family: 8
Business/Energy: 8
Recreation/Travel: 8
Business: 7
Adult/Regional: 7
Society/Organizations: 7
Adult/World: 7
Adult/Shopping: 7
Games/Video Games/Roleplaying: 2",nan%,2025-05-01,Low Authority Score (AS<5). Prohibited topics: adult.
unifiedbm.com,GoDaddy Auctions,,3.00,2.00,nan,nan,6.00,13.00,70.00,29.00,nan,92.00,65.00,nan,47.00,nan,3.00,43.48%,1.3142857142857143,2.2413793103448274,nan,0.0,,Society/Religion and Spirituality: 6,nan%,2025-05-01,Low Authority Score (AS<5).
thetraininggateway.com,GoDaddy Auctions,,32.00,4.00,nan,nan,22.00,15.00,131.00,33.00,nan,465.00,66.00,nan,133.00,nan,32.00,65.81%,3.549618320610687,2.0,nan,0.0,,"Reference/Education: 22
Science/Physics: 20
Business/Healthcare: 19
Science/Social Sciences: 19
Computers/Computer Science/Academic Departments: 19
Science/Technology: 19
Computers/Computer Science/Theoretical: 19
Reference/Archives: 18
Arts/Architecture: 18
Science/Chemistry: 17",nan%,2025-05-01,Low Authority Score (AS<5).
comicsboard.com,GoDaddy Auctions,,1.00,2.00,1.00,0.00,18.00,13.00,81.00,40.00,49.00,101.00,44.00,65.00,66.00,18.00,1.00,86.14%,1.2469135802469136,1.1,20.00,,,"Computers/Software/Project Management: 18
Computers/Programming/Languages: 13
Recreation/Travel: 13
Reference/Knowledge Management: 13",nan%,2025-05-01,Low Authority Score (AS<5).
thinkandinkstudio.com,GoDaddy Auctions,Questionable Majestic topics: adult.,18.00,4.00,3.00,0.00,13.00,17.00,101.00,52.00,85.00,452.00,151.00,183.00,108.00,nan,15.00,43.61%,4.475247524752476,2.9038461538461537,13.00,,,"Society/Organizations: 13
Sports/Equestrian: 11
News/Weblogs: 11
Society/People: 9
Adult/Image Galleries: 9
Society/Religion and Spirituality: 9",nan%,2025-05-01,Low Authority Score (AS<5). Prohibited topics: adult.
wordpressnulledclub.com,GoDaddy Auctions,,3.00,2.00,0.00,6.00,6.00,13.00,81.00,32.00,55.00,203.00,82.00,742.00,64.00,nan,3.00,72.91%,2.506172839506173,2.5625,3.00,0.0,,"Society/Religion and Spirituality: 6
Arts/Music: 1",nan%,2025-05-01,Low Authority Score (AS<5).
lighthouseworshipcenter.net,GoDaddy Auctions,Questionable Majestic topics: adult.,1.00,2.00,0.00,0.00,8.00,15.00,105.00,50.00,40.00,188.00,87.00,59.00,97.00,nan,2.00,45.74%,1.7904761904761906,1.74,17.00,1.0,,"Regional/Europe: 8
Business/Energy: 8
Recreation/Travel: 8
Home/Family: 8
Business: 8
Society/Organizations: 7
Adult/Regional: 7
Adult/World: 7
Adult/Shopping: 7
Games/Video Games/Roleplaying: 4",nan%,2025-05-01,Low Authority Score (AS<5). Prohibited topics: adult.
