Name,Source,Potentially spam,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry
hacklearning.org,GoDaddy Auctions,,31,5,27,8,12,23,280,119,277,1255,409,1595,260,13.0,26,0.5422647527910686,4.482142857142857,3.436974789915966,11.0,,,"Reference/Education: 12
Business: 12
Society/Issues: 9
Computers/Internet/Searching: 9
Health/Conditions and Diseases: 8
Computers/Artificial Intelligence: 8
Computers/Software/Educational: 7",,2025-05-28 05:31:00
ikeptwalking.com,GoDaddy Auctions,,18,11,6,7,12,18,212,71,154,350,409,485,176,11.0,12,0.48,1.650943396226415,5.76056338028169,10.0,93.0,,"Computers/News and Media: 12
Computers/Internet/Web Design and Development: 7
Shopping/Home and Garden: 6
Science/Environment: 6",,2025-05-28 06:22:00
inevitablesteps.com,GoDaddy Auctions,High spam score (SZ: 21.0).,24,5,21,6,13,23,247,961,245,672,1250,782,273,21.0,19,0.38724035608308605,2.720647773279352,1.3007284079084287,8.0,0.0,,"Computers/Internet/Protocols: 13
Sports/Basketball: 12
Recreation/Camps: 12
Society/Religion and Spirituality: 12
Computers/FAQs  Help  and Tutorials: 12
Home/Home Improvement: 12
Business/News and Media: 12
Society/Politics: 12
Health/Medicine: 12
Sports/Baseball: 11",,2025-05-28 04:18:00
nnlabs.org,Namecheap Auctions,High spam score (SZ: 24.0).,16,5,10,0,17,12,90,26,61,154,71,102,116,24.0,11,0.8766233766233766,1.711111111111111,2.730769230769231,7.0,0.0,,"Science/Physics: 17
Science/Instruments and Supplies: 13",,2025-05-28 01:00:00
protectingwater.com,GoDaddy Auctions,,25,5,28,7,11,18,149,184,124,375,335,593,139,8.0,23,0.8613333333333333,2.5167785234899327,1.8206521739130435,22.0,0.0,,"Shopping/Crafts: 11
Reference/Education: 6",,2025-05-28 04:32:00
rivertravelmagazine.com,GoDaddy Auctions,,25,5,29,10,32,25,335,83,297,1575,231,2522,314,,24,0.9186785260482846,4.701492537313433,2.783132530120482,4.0,,,"Arts/Music: 32
Regional/North America: 22
Society: 21
Recreation/Travel: 18",,2025-05-28 03:00:00
somedayprods.com,GoDaddy Auctions,,35,5,28,10,26,19,302,138,287,826,313,711,302,8.0,30,0.7388149939540508,2.7350993377483444,2.2681159420289854,9.0,0.0,,"Arts/Music: 26
Arts: 16",,2025-05-28 03:21:00
twentysomethingliving.com,GoDaddy Auctions,,25,5,14,5,13,17,182,73,152,523,107,456,180,10.0,20,0.4266666666666667,2.8736263736263736,1.4657534246575343,15.0,,,"Society/Organizations: 13
Health/Medicine: 8
Recreation/Travel: 8
Computers/Internet/Web Design and Development: 8",,2025-05-28 04:08:00
typetodesign.com,GoDaddy Auctions,,33,5,22,38,16,20,259,121,184,1137,338,526,269,11.0,28,0.4631578947368421,4.38996138996139,2.793388429752066,9.0,0.0,,"Arts/Entertainment: 16
Recreation/Travel: 12
News/Media Industry: 12
Computers/Data Formats: 11",,2025-05-28 04:49:00
