Name,Source,Potentially spam,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry,Everything backlinks,Everything domains,Quality backlinks,Quality domains,Price
absolutelyneedlepoint.com,GoDaddy Auctions,,16.00,6.00,7.00,3.00,24.00,16.00,96.00,27.00,90.00,221.00,52.00,1034.00,105.00,5.00,10.00,86.55%,2.3020833333333335,1.9259259259259258,23.00,,,"Shopping/Crafts: 23
Arts/Crafts: 22",nan%,2025-05-15,224,197,5,5,
community-of-joy.org,GoDaddy Auctions,,13.00,6.00,4.00,5.00,29.00,14.00,98.00,30.00,66.00,167.00,85.00,167.00,97.00,8.00,9.00,60.24%,1.7040816326530612,2.8333333333333335,22.00,8.0,,Society/Religion and Spirituality: 29,nan%,2025-05-15,167,161,5,5,
madnessmusepress.com,GoDaddy Auctions,High spam score (SZ: 26.0).,15.00,7.00,9.00,5.00,25.00,19.00,139.00,54.00,85.00,498.00,95.00,294.00,122.00,26.00,8.00,63.73%,3.58273381294964,1.7592592592592593,8.00,112.0,,"Reference/Libraries: 25
Arts/Literature: 23
Computers/Software/Operating Systems: 20
Arts/Art History: 20
Arts/Music: 19
Science/Astronomy: 19
Society/History: 19
Computers/Artificial Life: 19
Science/Technology: 19
Health/Mental Health: 19",nan%,2025-05-15,499,419,5,5,
workingminds.org,Namecheap Auctions,,31.00,5.00,nan,nan,20.00,16.00,111.00,29.00,nan,230.00,86.00,nan,116.00,nan,31.00,90.00%,2.0720720720720722,2.9655172413793105,nan,117.0,,"Health: 20
Health/Mental Health: 15
Health/Medicine: 15
Health/Nursing: 14
Sports/Running: 14
Reference/Education: 13",nan%,2025-05-15,232,197,27,27,
letmedia.org,GoDaddy Auctions,,20.00,5.00,nan,nan,14.00,19.00,115.00,69.00,nan,546.00,123.00,nan,133.00,nan,20.00,44.97%,4.747826086956522,1.7826086956521738,nan,1.0,,"Home/Cooking: 14
Arts: 13
Arts/Movies: 12
Shopping/Clothing: 12
Shopping/Recreation: 11",nan%,2025-05-15,547,540,19,19,
squareorganics.com,GoDaddy Auctions,,30.00,5.00,nan,nan,13.00,19.00,226.00,71.00,nan,655.00,198.00,nan,224.00,nan,30.00,86.13%,2.898230088495575,2.788732394366197,nan,1.0,,"Business/Small Business: 13
Society/Lifestyle Choices: 12",nan%,2025-05-15,659,490,50,50,
mikescourtside.com,GoDaddy Auctions,,19.00,9.00,nan,nan,14.00,18.00,282.00,188.00,nan,514.00,341.00,nan,125.00,nan,19.00,25.88%,1.822695035460993,1.8138297872340425,nan,4.0,,Arts/Radio: 14,nan%,2025-05-15,516,495,14,14,
eaze.net,GoDaddy Auctions,,30.00,5.00,nan,nan,26.00,22.00,315.00,164.00,nan,1080.00,370.00,nan,279.00,nan,30.00,92.78%,3.4285714285714284,2.2560975609756095,nan,0.0,,"Arts/Literature: 25
Games/Video Games/Adventure: 25
Computers/Artificial Intelligence: 24
Regional/North America: 23
Games/Game Studies: 19
Reference/Bibliography: 18
Computers/Internet/On the Web: 17",nan%,2025-05-15,1080,1017,68,68,
