Name,Source,Potentially spam,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry
123ecommerce.com,GoDaddy Auctions,,22,5,36,0,11,20,86,31,67,129,71,227,98,16.0,31,0.7751937984496124,1.5,2.2903225806451615,22.0,,,"Computers/Software/Graphics: 11
Computers/Software/Shareware: 7",,2025-05-31 05:42:00
getraddle.com,GoDaddy Auctions,,20,18,31,8,5,15,180,33,134,239,42,282,144,17.0,13,0.7656903765690377,1.3277777777777777,1.2727272727272727,5.0,0.0,,"Business: 5
Sports/Soccer: 1",,2025-05-31 07:12:00
limitengineering.com,GoDaddy Auctions,,22,9,12,11,11,15,203,31,138,412,135,401,208,8.0,13,0.6674757281553398,2.0295566502463056,4.354838709677419,21.0,1.0,,"Business/Automotive: 11
Recreation/Autos: 6",,2025-05-31 02:23:00
