Name,Source,Potentially spam,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry,Everything backlinks,Everything domains,Quality backlinks,Quality domains,Price
godblessrareform.com,GoDaddy Auctions,,30.00,nan,15.00,10.00,18.00,19.00,0.00,78.00,155.00,0.00,194.00,360.00,nan,10.00,nan,nan%,0.0,2.4871794871794872,5.00,2.0,,Society/People: 18,nan%,2025-05-10,400,156,141,41,
residential-homes.net,GoDaddy Auctions,,20.00,nan,14.00,4.00,18.00,15.00,1.00,30.00,73.00,0.00,147.00,848.00,nan,11.00,nan,nan%,0.0,4.9,23.00,137.0,,"Society/People: 18
Shopping/Health: 13
Business/Healthcare: 13",nan%,2025-05-10,366,104,46,8,
office-archive.com,Namecheap Auctions,,17.00,nan,nan,nan,20.00,12.00,9.00,51.00,nan,0.00,145.00,nan,nan,nan,nan,nan%,0.0,2.843137254901961,nan,2.0,,Science/Math: 20,nan%,2025-05-10,256,125,19,8,
actonadream.org,GoDaddy Auctions,,30.00,nan,nan,nan,19.00,18.00,7.00,82.00,nan,3.00,128.00,nan,nan,nan,nan,nan%,0.42857142857142855,1.5609756097560976,nan,8.0,,"Reference/Education: 19
Health/Organizations: 18
Science/Social Sciences: 16
Business/Education and Training: 15
Science/Physics: 14
Health/Conditions and Diseases: 14",nan%,2025-05-10,394,190,116,60,
