Domain,Total Backlinks,Unique Target URLs,Unique Source Titles,Unique Anchors,Price,Average Page Score
iprescribeexercise.com,201,6,99,30,150,2.3781094527363185
joyofenjoy.com,3297,84,327,1497,315,4.830451925993327
