Domain Name,Status,SZ Score,Spam message,Active History,Domain Age,Parked Pages,Redirects,Languages,Titles,Links,Archive,3xx Responses,2xx Responses,Min Words,Max Words,Min Hrefs,Max Hrefs,Ahrefs Domain Rating,Ahrefs URL Rating,Ahrefs Backlinks,Ahrefs Ref Domains,Ahrefs Ref Pages,Ahrefs Ref IPs, Ahrefs Ref Class C,Ahrefs Nofollow,Ahrefs Dofollow,Ahrefs Text,Ahrefs Image,Ahrefs Links External,Ahrefs .gov,Ahrefs .edu,Majestic Trust Flow,Majestic Citation Flow,Majestic External Backlinks,Majestic Ref Domains,Majestic Indexed URLs,Majestic Ref IPs,Majestic Ref Subnets,Majestic .gov,Majestic .edu,Majestic Redirect,Majestic Anchor Language,Majestic Topic 1,Majestic Topic 2,Majestic Topic 3,Lang History

myasha.org,clear,4,Clean,17,17,0,59,en,ASHA International | A Source of Hope for All touched by mental illness,https://myasha.org/bipoc-mental-health-resources/,http://web.archive.org/web/20081206144608if_/http://myasha.org:80/,59,236,122,1416,50,411,36,15,946,222,520,239,201,350,596,946,88,125,39,10,17,20,208,87,438,78,75,2,7,Yes,English Dutch/Flemish Italian Russian,Society/Advice,Reference/Education,Arts/Architecture,2008: English
,,,,,,,,,ASHA International,myasha.org/,http://web.archive.org/web/20090701235620if_/http://www.myasha.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009: English
,,,,,,,,,,https://myasha.org/product/shadows-in-the-sun-healing-from-depression-and-finding-the-light-within/,http://web.archive.org/web/20100112163858if_/http://www.myasha.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010: English
,,,,,,,,,Home - ASHA International,asha,http://web.archive.org/web/20100529211527if_/http://www.myasha.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011: English
,,,,,,,,,Promoting mental health awareness hope and holistic wellness,wellness workshops,http://web.archive.org/web/20110319073320if_/http://www.myasha.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012: English
,,,,,,,,,ASHA International - We Give Hope,www.myasha.org,http://web.archive.org/web/20110810123100if_/http://www.myasha.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013: English
,,,,,,,,,,myasha.org,http://web.archive.org/web/20120102120343if_/http://www.myasha.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014: English
,,,,,,,,,,http://www.myasha.org/node/12,http://web.archive.org/web/20120613205957if_/http://www.myasha.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015: English
,,,,,,,,,,asha international,http://web.archive.org/web/20121016011417if_/http://www.myasha.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016: English
